Phrase,Sujet,Verbe,Objet,type_deplacement,chapitre
"Puis elle s’ infléchit vers l’ est, et ne devait plus quitter le cours d’ eau avant d’ avoir atteint les Humboldt - Ranges, qui lui donnent naissance, presque à l’ extrémité orientale de l’ État du Nevada.",,quitter,le cours d’ eau,Dpt au sens large,26
"On a vu des milliers de ces animaux défiler pendant plusieurs heures, en rangs pressés, au travers du rail - road.",On,défiler,pendant plusieurs heures,Dpt au sens large,26
"On a vu des milliers de ces animaux défiler pendant plusieurs heures, en rangs pressés, au travers du rail - road.",On,défiler,en rangs,Dpt au sens large,26
"On a vu des milliers de ces animaux défiler pendant plusieurs heures, en rangs pressés, au travers du rail - road.",On,défiler,au travers du rail,Dpt au sens large,26
"On a vu des milliers de ces animaux défiler pendant plusieurs heures, en rangs pressés, au travers du rail - road.",On,défiler,-,Dpt au sens large,26
"On a vu des milliers de ces animaux défiler pendant plusieurs heures, en rangs pressés, au travers du rail - road.",On,défiler,road,Dpt au sens large,26
"On voyait ces ruminants– ces buffalos, comme les appellent improprement les Américains– marcher ainsi de leur pas tranquille, poussant parfois des beuglements formidables.",On,marcher,de leur pas tranquille,Dpt au sens large,26
"Le mieux était donc d’ attendre patiemment, quitte ensuite à regagner le temps perdu par une accélération de la marche du train.",,regagner,le temps,Dpt au sens large,26
"Mais l’ elder, sans s’ inquiéter de cette désertion, raconta avec détail«   comme quoi Joe Smyth fit banqueroute en 1837  ; comme quoi ses actionnaires ruinés l’ enduisirent de goudron et le roulèrent dans la plume  ; comme quoi on le retrouva, plus honorable et plus honoré que jamais, quelques années après, à Independance, dans le Missouri, et chef d’ une communauté florissante, qui ne comptait pas moins de trois mille disciples, et qu’ alors, poursuivi par la haine des gentils, il dut fuir dans le Far West américain.  »",il,fuir,dans le Far West américain,Dpt au sens large,27
"De là, on pouvait embrasser, sur un vaste périmètre, l’ aspect de cette mer intérieure, qui porte aussi le nom de mer Morte et dans laquelle se jette un Jourdain d’ Amérique.",on,embrasser,sur un vaste périmètre,Dynamicité spatiale sans dpt,27
"De là, on pouvait embrasser, sur un vaste périmètre, l’ aspect de cette mer intérieure, qui porte aussi le nom de mer Morte et dans laquelle se jette un Jourdain d’ Amérique.",on,embrasser,l’ aspect de cette mer intérieure,Dynamicité spatiale sans dpt,27
"Le train ne devant repartir qu’ à six heures, Mr. Fogg, Mrs.",Le train,repartir,qu’ à six heures,Dpt au sens large,27
"Deux heures suffisaient à visiter cette ville absolument américaine et, comme telle, bâtie sur le patron de toutes les villes de l’ Union, vastes échiquiers à longues lignes froides, avec la«   tristesse lugubre des angles droits  », suivant l’ expression de Victor Hugo.",Deux heures,visiter,cette ville absolument américaine,Dpt au sens large,27
Le fondateur de la Cité des Saints ne pouvait échapper à ce besoin de symétrie qui distingue les Anglo-Saxons.,Le fondateur de la Cité des Saints,échapper,à ce besoin de symétrie,Dpt au sens large,27
"Lorsque le Mormon eut repris haleine, Passepartout se hasarda à lui demander poliment combien il avait de femmes, à lui tout seul,–   et à la façon dont il venait de décamper, il lui en supposait une vingtaine au moins.",il,décamper,,Dpt au sens large,27
"Aussi, dans ce parcours, la subvention du gouvernement de l’ Union s’ est -elle élevée à quarante - huit mille dollars par mille, tandis qu’ elle n’ était que de seize mille dollars en plaine  ; mais les ingénieurs, ainsi qu’ il a été dit, n’ ont pas violenté la nature, ils ont rusé avec elle, tournant les difficultés, et pour atteindre le grand bassin, un seul tunnel, long de quatorze mille pieds, a été percé dans tout le parcours du rail - road.",ils,atteindre,le grand bassin,Dpt au sens large,28
"Depuis ce point, son profil décrivait une courbe très allongée, s’ abaissant vers la vallée du Bitter - creek, pour remonter jusqu’ au point de partage des eaux entre l’ Atlantique et le Pacifique.",,remonter,jusqu’ au point de partage des eaux entre l’ Atlantique et le Pacifique,Dpt au sens large,28
"Il fallut franchir sur des ponceaux le Muddy, le Green et autres.",,franchir,sur des ponceaux,Dpt au sens large,28
"Il fallut franchir sur des ponceaux le Muddy, le Green et autres.",,franchir,le Muddy le Green et autres,Dpt au sens large,28
"«  Aussi, quelle idée, se disait -il, mon maître a -t -il eue de voyager pendant l’ hiver  ! Ne pouvait -il attendre la belle saison pour augmenter ses chances  ?  »",quelle idée,voyager,pendant l’ hiver,Dpt au sens large,28
"Il est homme, il l’ a dit, à revenir en Amérique pour retrouver cet insulteur.",,revenir,en Amérique,Dpt au sens large,28
"Passepartout sentit comme un frisson lui courir par le corps, mais ses convictions à l’ endroit de son maître ne faiblirent pas.",Passepartout,courir,lui,Dpt au sens large,28
"Passepartout sentit comme un frisson lui courir par le corps, mais ses convictions à l’ endroit de son maître ne faiblirent pas.",Passepartout,courir,par le corps,Dpt au sens large,28
La neige avait cessé de tomber.,La neige,tomber,,Dynamicité spatiale sans dpt,28
Mrs. Aouda et Fix purent craindre un instant que Mr. Fogg ne songeât à descendre sur la voie.,Mr. Fogg,descendre,sur la voie,Dpt au sens large,28
«  Non  ! il n’ y a pas moyen de passer  !,,passer,,Dpt au sens large,28
Le garde-voie n’ exagérait donc en aucune façon en affirmant qu’ on ne pouvait passer.,on,passer,,Dpt au sens large,28
"Passepartout, n’ osant aller prévenir son maître, écoutait, les dents serrées, immobile comme une statue.",,aller,,Dpt au sens large,28
"D’ ailleurs, ce temps nous sera nécessaire pour gagner à pied la station.",ce temps,gagner,à pied,Dpt au sens large,28
"D’ ailleurs, ce temps nous sera nécessaire pour gagner à pied la station.",ce temps,gagner,la station,Dpt au sens large,28
"«  Messieurs, il y aurait peut-être moyen de passer.",Messieurs,passer,,Dpt au sens large,28
"Je crois qu’ en lançant le train avec son maximum de vitesse, on aurait quelques chances de passer.",,passer,,Dpt au sens large,28
"Il rappela même que des ingénieurs avaient eu l’ idée de passer des rivières«   sans pont  » avec des trains rigides lancés à toute vitesse,etc. Et, en fin de compte, tous les intéressés dans la question se rangèrent à l’ avis du mécanicien.",,passer,des rivières,Dpt au sens large,28
"Il rappela même que des ingénieurs avaient eu l’ idée de passer des rivières«   sans pont  » avec des trains rigides lancés à toute vitesse,etc. Et, en fin de compte, tous les intéressés dans la question se rangèrent à l’ avis du mécanicien.",,passer,avec des trains rigides,Dpt au sens large,28
"«  Nous avons cinquante chances pour passer, disait l’ un.",,passer,,Dpt au sens large,28
"–   Quoi  ! prudent  ! s’ écria le colonel Proctor, que ce mot, entendu par hasard, fit bondir.",,bondir,,Dynamicité spatiale sans dpt,28
"Mais on ne m’ empêchera pas de penser qu’ il eût été plus naturel de nous faire d’ abord passer à pied sur ce pont, nous autres voyageurs, puis le train ensuite  !…  »",,passer,à pied,Dpt au sens large,28
"Mais on ne m’ empêchera pas de penser qu’ il eût été plus naturel de nous faire d’ abord passer à pied sur ce pont, nous autres voyageurs, puis le train ensuite  !…  »",,passer,sur ce pont,Dpt au sens large,28
"Mais on ne m’ empêchera pas de penser qu’ il eût été plus naturel de nous faire d’ abord passer à pied sur ce pont, nous autres voyageurs, puis le train ensuite  !…  »",,passer,nous autres voyageurs,Dpt au sens large,28
"Mais personne n’ entendit cette sage réflexion, et personne n’ eût voulu en reconnaître la justesse.",personne,reconnaître,en,Dynamicité spatiale sans dpt,28
"Mais personne n’ entendit cette sage réflexion, et personne n’ eût voulu en reconnaître la justesse.",personne,reconnaître,la justesse,Dynamicité spatiale sans dpt,28
"Les voyageurs n’ avaient plus qu’ à descendre jusqu’ à l’ Atlantique sur ces plaines sans limites, nivelées par la nature.",Les voyageurs,descendre,jusqu’ à l’ Atlantique,Dpt au sens large,29
"Les voyageurs n’ avaient plus qu’ à descendre jusqu’ à l’ Atlantique sur ces plaines sans limites, nivelées par la nature.",Les voyageurs,descendre,sur ces plaines sans limites,Dpt au sens large,29
"Quatre nuits et quatre jours, selon toute prévision, devaient suffire pour atteindre New York.",,atteindre,New York,Dpt au sens large,29
"Le sifflet de la locomotive, plus puissant que la lyre d’ Amphion, allait bientôt les faire surgir du sol américain.",Le sifflet de la locomotive plus puissant que la lyre d’ Amphion,surgir,les,Dpt au sens large,29
"Le sifflet de la locomotive, plus puissant que la lyre d’ Amphion, allait bientôt les faire surgir du sol américain.",Le sifflet de la locomotive plus puissant que la lyre d’ Amphion,surgir,du sol américain,Dpt au sens large,29
"Fix avait commencé par gagner quelques guinées, qu’ il était en train de reperdre, mais il ne se montrait pas moins passionné que Mr. Fogg.",Fix,gagner,quelques guinées qu’ il était en train,Dpt au sens large,29
"Passepartout était prêt à se jeter sur l’ Américain, qui regardait son adversaire de l’ air le plus insultant.",Passepartout,jeter,se,Dpt au sens large,29
"Passepartout était prêt à se jeter sur l’ Américain, qui regardait son adversaire de l’ air le plus insultant.",Passepartout,jeter,sur l’ Américain,Dpt au sens large,29
"Passepartout voulait jeter le colonel par la portière, mais un signe de son maître l’ arrêta.",Passepartout,jeter,le colonel,Dpt au sens large,29
"Passepartout voulait jeter le colonel par la portière, mais un signe de son maître l’ arrêta.",Passepartout,jeter,par la portière,Dpt au sens large,29
"«  Monsieur, dit Mr. Fogg à son adversaire, je suis fort pressé de retourner en Europe, et un retard quelconque préjudicierait beaucoup à mes intérêts.",Monsieur,retourner,en Europe,Dpt au sens large,29
"–   Monsieur, reprit très poliment Mr. Fogg, après notre rencontre à San Francisco, j’ avais formé le projet de venir vous retrouver en Amérique, dès que j’ aurais terminé les affaires qui m’ appellent sur l’ ancien continent.",,venir,,Dpt au sens large,29
"Mais à l’ instant où les deux adversaires allaient descendre sur la voie, le conducteur accourut et leur cria  :",les deux adversaires,descendre,sur la voie,Dpt au sens large,29
–   Mais je dois me battre avec monsieur.,je,battre,me,Dpt au sens large,29
–   Mais je dois me battre avec monsieur.,je,battre,avec monsieur,Dpt au sens large,29
"Mais, après tout, puisque vous n’ avez pas eu le temps de vous battre ici, qui vous empêche de vous battre en route  ?",vous,battre,vous,Dpt au sens large,29
"Mais, après tout, puisque vous n’ avez pas eu le temps de vous battre ici, qui vous empêche de vous battre en route  ?",vous,battre,ici,Dpt au sens large,29
"Mais, après tout, puisque vous n’ avez pas eu le temps de vous battre ici, qui vous empêche de vous battre en route  ?",qui,battre,vous,Dpt au sens large,29
"Mais, après tout, puisque vous n’ avez pas eu le temps de vous battre ici, qui vous empêche de vous battre en route  ?",qui,battre,en route,Dpt au sens large,29
"Le conducteur leur demanda s’ ils voulaient bien, pour quelques instants, laisser la place libre à deux gentlemen qui avaient une affaire d’ honneur à vider.",,vider,,Dpt au sens large,29
Les deux adversaires pouvaient marcher l’ un sur l’ autre entre les banquettes et s’ arquebuser à leur aise.,Les deux adversaires,marcher,l’ un sur l’ autre,Dpt au sens large,29
Les deux adversaires pouvaient marcher l’ un sur l’ autre entre les banquettes et s’ arquebuser à leur aise.,Les deux adversaires,marcher,entre les banquettes,Dpt au sens large,29
"C’ était même si simple, que Fix et Passepartout sentaient leur cœur battre à se briser.",Fix et Passepartout,battre,,Dpt au sens large,29
"Là, suspendu d’ une main entre le wagon des bagages et le tender, de l’ autre il décrocha les chaînes de sûreté  ; mais par suite de la traction opérée, il n’ aurait jamais pu parvenir à dévisser la barre d’ attelage, si une secousse que la machine éprouva n’ eût fait sauter cette barre, et le train, détaché, resta peu à peu en arrière, tandis que la locomotive s’ enfuyait avec une nouvelle vitesse.",il,parvenir,,Dpt au sens large,29
"Là, suspendu d’ une main entre le wagon des bagages et le tender, de l’ autre il décrocha les chaînes de sûreté  ; mais par suite de la traction opérée, il n’ aurait jamais pu parvenir à dévisser la barre d’ attelage, si une secousse que la machine éprouva n’ eût fait sauter cette barre, et le train, détaché, resta peu à peu en arrière, tandis que la locomotive s’ enfuyait avec une nouvelle vitesse.",une secousse,sauter,cette barre,Dynamicité spatiale sans dpt,29
Votre intention est-elle de poursuivre les Sioux  ?,Votre intention,poursuivre,les Sioux,Dpt au sens large,30
Ces Indiens peuvent fuir jusqu’ au-delà de l’ Arkansas  !,Ces Indiens,fuir,jusqu’ au-delà de l’ Arkansas,Dpt au sens large,30
Je ne saurais abandonner le fort qui m’ est confié.,Je,abandonner,le fort,Dpt au sens large,30
"–   Vous, monsieur  ! s’ écria Fix, qui s’ était approché, aller seul à la poursuite des Indiens  !",qui,aller,à la poursuite des Indiens,Dpt au sens large,30
"Quoi  ! cet homme qu’ il venait de suivre autour du monde, il avait consenti à s’ en séparer  !",il,suivre,,Dpt au sens large,30
"Il était tenté de s’ en aller à travers les longues plaines blanches, à la poursuite de ce Fogg  !",Il,aller,s’,Dpt au sens large,30
"Il était tenté de s’ en aller à travers les longues plaines blanches, à la poursuite de ce Fogg  !",Il,aller,en,Dpt au sens large,30
"Il était tenté de s’ en aller à travers les longues plaines blanches, à la poursuite de ce Fogg  !",Il,aller,à travers les longues plaines blanches,Dpt au sens large,30
"Il était tenté de s’ en aller à travers les longues plaines blanches, à la poursuite de ce Fogg  !",Il,aller,à la poursuite de ce Fogg,Dpt au sens large,30
Il éprouva comme une insurmontable envie d’ abandonner la partie.,,abandonner,la partie,Dpt au sens large,30
"Or, précisément, cette occasion de quitter la station de Kearney et de poursuivre ce voyage, si fécond en déconvenues, lui fut offerte.",,quitter,la station de Kearney,Dpt au sens large,30
"Or, précisément, cette occasion de quitter la station de Kearney et de poursuivre ce voyage, si fécond en déconvenues, lui fut offerte.",,poursuivre,ce voyage si fécond en déconvenues,Dpt au sens large,30
"Les secours réclamés par le télégraphe ne pouvaient arriver sitôt, et le train d’ Omaha à San Francisco ne devait passer que le lendemain.",Les secours,arriver,,Dpt au sens large,30
"Les secours réclamés par le télégraphe ne pouvaient arriver sitôt, et le train d’ Omaha à San Francisco ne devait passer que le lendemain.",le train d’ Omaha à San Francisco,passer,que le lendemain,Dpt au sens large,30
"Continuer la route dans la direction d’ Omaha était prudent  ; retourner vers le train, que les Indiens pillaient peut-être encore, était dangereux… N’ importe  !",,retourner,vers le train,Dpt au sens large,30
"Quelques instants auparavant, quand tout moyen de locomotion lui manquait, il était décidé à quitter Kearney, et maintenant que le train était là, prêt à s’ élancer, qu’ il n’ avait plus qu’ à reprendre sa place dans le wagon, une irrésistible force le rattachait au sol.",il,quitter,Kearney,Dpt au sens large,30
"Elle venait à l’ extrémité du quai, cherchant à voir à travers la tempête de neige, voulant percer cette brume qui réduisait l’ horizon autour d’ elle, écoutant si quelque bruit se ferait entendre.",,percer,cette brume,Dpt au sens large,30
"Elle rentrait alors, toute transie, pour revenir quelques moments plus tard, et toujours inutilement.",Elle,revenir,quelques moments plus tard et toujours inutilement,Dpt au sens large,30
"Avait -il pu rejoindre les Indiens  ? Y avait -il eu lutte, ou ces soldats, perdus dans la brume, erraient -ils au hasard  ?",-il,rejoindre,les Indiens,Dpt au sens large,30
"Le capitaine du fort Kearney était très inquiet, bien qu’ il ne voulût rien laisser paraître de son inquiétude.",,paraître,de son inquiétude,Dpt au sens large,30
"Il croyait le trouver là, prêt à filer sur Omaha, et il espérait que l’ on pourrait encore regagner le temps perdu.",l’,regagner,le temps,Dpt au sens large,30
C’ est huit heures à regagner.,,regagner,,Dpt au sens large,31
"En effet, pour rien au monde il n’ eût voulu quitter son maître, puisque Fix devait l’ accompagner.",il,quitter,son maître,Dpt au sens large,31
"Et Mudge avait intérêt à arriver dans le délai convenu, car Mr. Fogg, fidèle à son système, l’ avait alléché par une forte prime.",Mudge,arriver,dans le délai,Dpt au sens large,31
"Au lieu d’ arriver le matin à New York, on y arriverait le soir, mais il y avait encore quelques chances pour que ce fût avant le départ du paquebot de Liverpool.",,arriver,le matin,Dpt au sens large,31
"Au lieu d’ arriver le matin à New York, on y arriverait le soir, mais il y avait encore quelques chances pour que ce fût avant le départ du paquebot de Liverpool.",,arriver,à New York,Dpt au sens large,31
Passepartout avait même éprouvé une forte envie de serrer la main de son allié Fix.,,serrer,la main de son allié Fix,Dynamicité spatiale sans dpt,31
"Il n’ oubliait pas que c’ était l’ inspecteur lui-même qui avait procuré le traîneau à voiles, et, par conséquent, le seul moyen qu’ il y eût de gagner Omaha en temps utile.",,gagner,Omaha,Dpt au sens large,31
"Il n’ oubliait pas que c’ était l’ inspecteur lui-même qui avait procuré le traîneau à voiles, et, par conséquent, le seul moyen qu’ il y eût de gagner Omaha en temps utile.",,gagner,en temps utile,Dpt au sens large,31
"Pendant que chacun des voyageurs se laissait aller à des réflexions si diverses, le traîneau volait sur l’ immense tapis de neige.",chacun des voyageurs,aller,à des réflexions si diverses,Dpt au sens large,31
"De temps en temps, on voyait passer comme un éclair quelque arbre grimaçant, dont le blanc squelette se tordait sous la brise.",on,passer,comme un éclair,Dpt au sens large,31
"De temps en temps, on voyait passer comme un éclair quelque arbre grimaçant, dont le blanc squelette se tordait sous la brise.",on,passer,quelque arbre,Dpt au sens large,31
Ils aidèrent Mr. Fogg et la jeune femme à descendre du traîneau.,Ils,descendre,du traîneau,Dpt au sens large,31
"Pour aller d’ Omaha à Chicago, le rail - road, sous le nom de«   Chicago - Rock - island - road  », court directement dans l’ est en desservant cinquante stations.",le rail - road sous le nom de «,aller,d’ Omaha à Chicago,Dpt au sens large,31
Ils employaient à cette traversée de New York à l’ Angleterre plus de temps qu’ il n’ en restait à Mr. Fogg pour gagner son pari.,Ils,gagner,son pari,Dpt au sens large,32
"Ce gentleman semblait devoir échouer dans sa dernière tentative, quand il aperçut, mouillé devant la Batterie, à une encablure au plus, un navire de commerce à hélice, de formes fines, dont la cheminée, laissant échapper de gros flocons de fumée, indiquait qu’ il se préparait à appareiller.",,échouer,dans sa dernière tentative,Dynamicité spatiale sans dpt,32
"Ce gentleman semblait devoir échouer dans sa dernière tentative, quand il aperçut, mouillé devant la Batterie, à une encablure au plus, un navire de commerce à hélice, de formes fines, dont la cheminée, laissant échapper de gros flocons de fumée, indiquait qu’ il se préparait à appareiller.",,échapper,,Dpt au sens large,32
"Ce gentleman semblait devoir échouer dans sa dernière tentative, quand il aperçut, mouillé devant la Batterie, à une encablure au plus, un navire de commerce à hélice, de formes fines, dont la cheminée, laissant échapper de gros flocons de fumée, indiquait qu’ il se préparait à appareiller.",il,appareiller,,Dpt au sens large,32
"Cependant, il fallait trouver le moyen de traverser l’ Atlantique en bateau– à moins de le traverser en ballon–, ce qui eût été fort aventureux, et ce qui, d’ ailleurs, n’ était pas réalisable.",,traverser,l’ Atlantique,Dpt au sens large,32
"Cependant, il fallait trouver le moyen de traverser l’ Atlantique en bateau– à moins de le traverser en ballon–, ce qui eût été fort aventureux, et ce qui, d’ ailleurs, n’ était pas réalisable.",,traverser,en bateau,Dpt au sens large,32
"Cependant, il fallait trouver le moyen de traverser l’ Atlantique en bateau– à moins de le traverser en ballon–, ce qui eût été fort aventureux, et ce qui, d’ ailleurs, n’ était pas réalisable.",,traverser,le,Dpt au sens large,32
"Cependant, il fallait trouver le moyen de traverser l’ Atlantique en bateau– à moins de le traverser en ballon–, ce qui eût été fort aventureux, et ce qui, d’ ailleurs, n’ était pas réalisable.",,traverser,en ballon,Dpt au sens large,32
"Le capitaine Speedy commença à se gratter le front, comme s’ il eût voulu en arracher l’ épiderme.",Le capitaine Speedy,gratter,se,Dpt au sens large,32
"Le capitaine Speedy commença à se gratter le front, comme s’ il eût voulu en arracher l’ épiderme.",Le capitaine Speedy,gratter,le front,Dpt au sens large,32
"Huit mille dollars à gagner, sans modifier son voyage, cela valait bien la peine qu’ il mît de côté son antipathie prononcée pour toute espèce de passager.",,gagner,,Dpt au sens large,32
"Débarquer de l’ Henrietta, monter dans une voiture, se rendre à l’ hôtel Saint-Nicolas, en ramener Mrs.",,Débarquer,de l’ Henrietta,Dpt au sens large,32
"Débarquer de l’ Henrietta, monter dans une voiture, se rendre à l’ hôtel Saint-Nicolas, en ramener Mrs.",,monter,dans une voiture,Dpt au sens large,32
"Phileas Fogg voulait aller à Liverpool, le capitaine ne voulait pas l’ y conduire.",Phileas Fogg,aller,à Liverpool,Dpt au sens large,33
"–   si donc la mer ne devenait pas trop mauvaise, si le vent ne sautait pas dans l’ est, s’ il ne survenait aucune avarie au bâtiment, aucun accident à la machine, l’ Henrietta, dans les neuf jours comptés du 12 décembre au 21, pouvait franchir les trois mille milles qui séparent New York de Liverpool.",l’ Henrietta,franchir,les trois mille milles,Dpt au sens large,33
"Mr. Fogg, afin de ne point s’ écarter de sa route, dut serrer ses voiles et forcer de vapeur.",,serrer,ses voiles,Dynamicité spatiale sans dpt,33
"Or, s’ il fallait fuir, c’ était l’ inconnu avec toutes ses mauvaises chances.",,fuir,,Dpt au sens large,33
"Et cependant, ainsi qu’ on va le voir, il eût été bien utile de venir en aide à la vapeur  !",,venir,en aide,Dpt au sens large,33
"Et cependant, ainsi qu’ on va le voir, il eût été bien utile de venir en aide à la vapeur  !",,venir,à la vapeur,Dpt au sens large,33
"N’ oubliez pas que, depuis notre départ, nous chauffons avec tous nos fourneaux allumés, et si nous avions assez de charbon pour aller à petite vapeur de New York à Bordeaux, nous n’ en avons pas assez pour aller à toute vapeur de New York à Liverpool  !",nous,aller,à petite vapeur de New York à Bordeaux,Dpt au sens large,33
"N’ oubliez pas que, depuis notre départ, nous chauffons avec tous nos fourneaux allumés, et si nous avions assez de charbon pour aller à petite vapeur de New York à Bordeaux, nous n’ en avons pas assez pour aller à toute vapeur de New York à Liverpool  !",nous,aller,à toute vapeur de New York à Liverpool,Dpt au sens large,33
"Cependant, il paraît que le flegmatique gentleman en prit un, car le soir même il fit venir le mécanicien et lui dit  :",le flegmatique gentleman,venir,le mécanicien,Dpt au sens large,33
"Le navire continua donc de marcher à toute vapeur  ; mais ainsi qu’ il l’ avait annoncé, deux jours plus tard, le 18, le mécanicien fit savoir que le charbon manquerait dans la journée.",Le navire,marcher,à toute vapeur,Dpt au sens large,33
"Ce jour -là, vers midi, après avoir pris hauteur et calculé la position du navire, Phileas Fogg fit venir Passepartout, et il lui donna l’ ordre d’ aller chercher le capitaine Speedy.",Phileas Fogg,venir,Ce jour,Dpt au sens large,33
"Ce jour -là, vers midi, après avoir pris hauteur et calculé la position du navire, Phileas Fogg fit venir Passepartout, et il lui donna l’ ordre d’ aller chercher le capitaine Speedy.",Phileas Fogg,venir,-là,Dpt au sens large,33
"Ce jour -là, vers midi, après avoir pris hauteur et calculé la position du navire, Phileas Fogg fit venir Passepartout, et il lui donna l’ ordre d’ aller chercher le capitaine Speedy.",Phileas Fogg,venir,vers midi,Dpt au sens large,33
"Ce jour -là, vers midi, après avoir pris hauteur et calculé la position du navire, Phileas Fogg fit venir Passepartout, et il lui donna l’ ordre d’ aller chercher le capitaine Speedy.",Phileas Fogg,venir,Passepartout,Dpt au sens large,33
"Ce jour -là, vers midi, après avoir pris hauteur et calculé la position du navire, Phileas Fogg fit venir Passepartout, et il lui donna l’ ordre d’ aller chercher le capitaine Speedy.",,aller,,Dpt au sens large,33
"C’ était comme si on eût commandé à ce brave garçon d’ aller déchaîner un tigre, et il descendit dans la dunette, se disant  :",C’,aller,,Dpt au sens large,33
"–   Je vous ai fait venir, monsieur…",Je,venir,vous,Dpt au sens large,33
–   C’ est que je vais être obligé de le brûler.,,brûler,le,Dpt au sens large,33
–   Brûler mon navire  !,,Brûler,mon navire,Dpt au sens large,33
"–   Brûler mon navire  ! s’ écria le capitaine Speedy, qui ne pouvait même plus prononcer les syllabes.",,Brûler,mon navire,Dpt au sens large,33
"Et Andrew Speedy, saisissant la liasse de bank - notes, les compta et les fit disparaître dans sa poche.",Andrew Speedy,disparaître,les,Dpt au sens large,33
"Et Andrew Speedy, saisissant la liasse de bank - notes, les compta et les fit disparaître dans sa poche.",Andrew Speedy,disparaître,dans sa poche,Dpt au sens large,33
Phileas Fogg n’ avait plus que vingt-quatre heures pour atteindre Londres  !,Phileas Fogg,atteindre,Londres,Dpt au sens large,33
"Or, c’ était le temps qu’ il fallait à l’ Henrietta pour gagner Liverpool,–   même en marchant à toute vapeur.",,gagner,Liverpool,Dpt au sens large,33
–   Pouvons -nous entrer dans le port  ?,-nous,entrer,dans le port,Dpt au sens large,33
"Ces douze heures que gagnait ainsi le courrier d’ Amérique, Phileas Fogg prétendait les gagner aussi.",Phileas Fogg,gagner,les,Dpt au sens large,33
"Au lieu d’ arriver sur l’ Henrietta, le lendemain soir, à Liverpool, il y serait à midi, et, par conséquent, il aurait le temps d’ être à Londres avant huit heures quarante - cinq minutes du soir.",,arriver,sur l’ Henrietta,Dpt au sens large,33
"On l’ avait enfermé dans le poste de Custom - house, la douane de Liverpool, et il devait y passer la nuit en attendant son transfèrement à Londres.",il,passer,y,Dpt au sens large,34
"On l’ avait enfermé dans le poste de Custom - house, la douane de Liverpool, et il devait y passer la nuit en attendant son transfèrement à Londres.",il,passer,la nuit,Dpt au sens large,34
Ils ne voulaient ni l’ un ni l’ autre quitter la place.,,quitter,la place,Dpt au sens large,34
"Quant à ce gentleman, il était bien et dûment ruiné, et cela au moment où il allait atteindre son but.",il,atteindre,son but,Dpt au sens large,34
"Arrivé à midi moins vingt à Liverpool, le 21 décembre, il avait jusqu’ à huit heures quarante - cinq minutes pour se présenter au Reform - Club, soit neuf heures quinze minutes,���   et il ne lui en fallait que six pour atteindre Londres.",,atteindre,Londres,Dpt au sens large,34
"Quoi qu’ il en soit, Mr. Fogg avait soigneusement posé sa montre sur une table et il en regardait les aiguilles marcher.",il,marcher,,Dpt au sens large,34
Pensa -t -il à fuir  ?,-t,fuir,,Dpt au sens large,34
"En admettant qu’ il montât en ce moment dans un express, il pouvait encore arriver à Londres et au Reform - Club avant huit heures quarante - cinq du soir.",il,arriver,à Londres et au Reform - Club,Dpt au sens large,34
"En admettant qu’ il montât en ce moment dans un express, il pouvait encore arriver à Londres et au Reform - Club avant huit heures quarante - cinq du soir.",il,arriver,avant huit heures quarante - cinq du soir,Dpt au sens large,34
"Il y avait plusieurs locomotives de grande vitesse en pression  ; mais, attendu les exigences du service, le train spécial ne put quitter la gare avant trois heures.",le train spécial,quitter,la gare,Dpt au sens large,34
"Il y avait plusieurs locomotives de grande vitesse en pression  ; mais, attendu les exigences du service, le train spécial ne put quitter la gare avant trois heures.",le train spécial,quitter,avant trois heures,Dpt au sens large,34
"À trois heures, Phileas Fogg, après avoir dit quelques mots au mécanicien d’ une certaine prime à gagner, filait dans la direction de Londres, en compagnie de la jeune femme et de son fidèle serviteur.",,gagner,,Dpt au sens large,34
"Il fallait franchir en cinq heures et demie la distance qui sépare Liverpool de Londres–, chose très faisable, quand la voie est libre sur tout le parcours.",,franchir,en cinq heures et demie,Dpt au sens large,34
"Il fallait franchir en cinq heures et demie la distance qui sépare Liverpool de Londres–, chose très faisable, quand la voie est libre sur tout le parcours.",,franchir,la distance,Dpt au sens large,34
"Après avoir marché d’ un pas sûr pendant ce long parcours, après avoir renversé mille obstacles, bravé mille dangers, ayant encore trouvé le temps de faire quelque bien sur sa route, échouer au port devant un fait brutal, qu’ il ne pouvait prévoir, et contre lequel il était désarmé  : cela était terrible  !",,échouer,au port,Dynamicité spatiale sans dpt,35
"Après avoir marché d’ un pas sûr pendant ce long parcours, après avoir renversé mille obstacles, bravé mille dangers, ayant encore trouvé le temps de faire quelque bien sur sa route, échouer au port devant un fait brutal, qu’ il ne pouvait prévoir, et contre lequel il était désarmé  : cela était terrible  !",,échouer,devant un fait brutal,Dynamicité spatiale sans dpt,35
"Le lendemain, Mr. Fogg le fit venir et lui recommanda, en termes fort brefs, de s’ occuper du déjeuner de Mrs.",,venir,Le lendemain,Dpt au sens large,35
"Le lendemain, Mr. Fogg le fit venir et lui recommanda, en termes fort brefs, de s’ occuper du déjeuner de Mrs.",,venir,le,Dpt au sens large,35
"Il regardait son maître toujours impassible, et il ne pouvait se décider à quitter sa chambre.",,quitter,sa chambre,Dpt au sens large,35
"… Mon ami, il ne faudra pas le quitter, pas un seul instant.",,quitter,le,Dpt au sens large,35
"… Mon ami, il ne faudra pas le quitter, pas un seul instant.",,quitter,pas un seul instant,Dpt au sens large,35
